School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Radford,29,0.379,-9.23,-3.9,0.438,0.667,0.2,63.172,67.414,-4.241,0.79,17.9,2022
Rhode Island,31,0.484,2.92,1.22,0.294,0.667,0.25,67.129,65,2.129,0.943,17.16,2022
Rice,33,0.485,-2.74,-1.19,0.389,0.667,0.333,74.121,73.364,0.758,1.242,13.94,2022
Richmond,37,0.649,7.07,4.48,0.556,0.733,0.583,71.027,68.432,2.595,1.485,13.86,2022
Rider,33,0.424,-5.87,-3.56,0.4,0.538,0.267,67.788,69.273,-1.485,1.074,17.12,2022
Robert Morris,32,0.25,-12.5,-5.47,0.238,0.286,0.222,69.375,74.688,-5.313,0.888,15.5,2022
Rutgers,32,0.563,8.78,6.81,0.6,0.824,0.308,68.5,66.531,1.969,1.317,15.75,2022
Sacramento St.,29,0.379,-12.06,-5.36,0.3,0.385,0.308,65.448,70.172,-4.724,0.994,17.17,2022
Sacred Heart,30,0.333,-13.41,-8.79,0.375,0.462,0.235,72.667,75.133,-2.467,1.048,15.63,2022
Saint Francis (PA),30,0.3,-14.57,-7.91,0.278,0.333,0.278,68.6,73.5,-4.9,1.029,14.73,2022
Saint Joseph's,30,0.367,1,2.46,0.278,0.563,0.091,67.6,69.067,-1.467,1,16.13,2022
Saint Louis,35,0.657,9.83,3.45,0.667,0.737,0.455,76.171,67.886,8.286,1.149,17.91,2022
Saint Mary's,34,0.765,14.82,6.58,0.8,1,0.6,69.706,60.618,9.088,1.199,15.56,2022
Saint Peter's,34,0.647,2.96,-0.47,0.7,0.692,0.5,66.971,62.5,4.471,0.917,19.68,2022
Sam Houston St.,33,0.576,0.07,-1.16,0.722,0.846,0.385,68.848,63.091,5.758,1.12,18,2022
Samford,32,0.656,-3.01,-1.76,0.556,0.867,0.385,74.688,73.844,0.844,0.934,17.63,2022
San Diego,31,0.484,-3.32,1.48,0.438,0.571,0.385,65.839,67.29,-1.452,0.798,15.9,2022
San Diego St.,32,0.719,13.13,5.85,0.765,0.933,0.5,65.406,58.125,7.281,0.934,17.47,2022
San Francisco,34,0.706,14.12,5.24,0.625,0.778,0.778,77.353,67.765,9.588,1.021,18.09,2022
San Jose St.,31,0.258,-7.01,3.79,0.056,0.438,0.071,64.29,72.323,-8.032,0.988,16.32,2022
Santa Clara,33,0.636,8.98,3.61,0.667,0.778,0.455,77.273,71.909,5.364,1.31,15,2022
Seattle,32,0.719,1.96,-4.1,0.778,0.895,0.5,74.844,66.625,8.219,1.175,20.53,2022
Seton Hall,32,0.656,12.75,8.52,0.579,0.813,0.545,71.938,66.406,5.531,0.851,15.63,2022
Siena,29,0.517,-6.4,-3.5,0.6,0.615,0.467,66.276,69.172,-2.897,0.799,16,2022
South Alabama,33,0.636,0.23,-3.59,0.563,0.833,0.333,71.576,63.97,7.606,0.945,16.42,2022
South Carolina,31,0.581,7.14,8.37,0.5,0.75,0.364,70.968,70.258,0.71,0.922,19.42,2022
South Carolina St.,31,0.484,-13.04,-8.39,0.5,0.615,0.385,71.839,72.548,-0.71,0.828,19.81,2022
South Carolina UpSt.,32,0.469,-9.01,-4.11,0.625,0.462,0.471,71.469,73.156,-1.688,1.076,19.13,2022
South Dakota,31,0.613,-4.43,-5.61,0.611,0.733,0.462,75.129,70.903,4.226,1.197,17.65,2022
South Dakota St.,35,0.857,6.6,-3.77,1,1,0.769,85.857,73.171,12.686,1.371,15.31,2022
South Florida,31,0.258,-3.05,4.4,0.167,0.375,0.182,57.452,64.903,-7.452,0.871,17.06,2022
Southeast Missouri St.,32,0.438,-7.19,-4.69,0.471,0.615,0.333,75.563,77.281,-1.719,1.062,20.28,2022
Southeastern Louisiana,34,0.559,-9.03,-5.77,0.714,0.909,0.313,78.794,77.735,1.059,1.068,16,2022
Southern,31,0.548,-5.17,-6.9,0.647,0.818,0.421,71.903,67.903,4,0.924,20.45,2022
USC,34,0.765,12.5,6.09,0.7,0.813,0.75,72.382,65.971,6.412,1.169,15.62,2022
Southern Illinois,31,0.516,2.83,0.73,0.5,0.733,0.333,64.032,61.355,2.677,1.051,15.26,2022
SIU Edwardsville,32,0.344,-10.37,-4.71,0.278,0.615,0.188,67.531,69.938,-2.406,0.817,18.25,2022
SMU,33,0.727,11.14,4.44,0.765,0.944,0.545,73.818,67.121,6.697,1.123,15.21,2022
Southern Miss,33,0.212,-13.58,-0.38,0.056,0.214,0.067,64.424,74.879,-10.455,0.925,16.03,2022
Southern Utah,35,0.657,-1.51,-4.57,0.7,0.813,0.5,77.714,72.514,5.2,0.953,17.03,2022
St. Bonaventure,33,0.697,8.27,4.79,0.706,0.867,0.636,69.97,66.485,3.485,1.323,13.3,2022
St. Francis (NY),30,0.333,-13.49,-7.93,0.389,0.25,0.438,67.233,70.533,-3.3,0.962,16.57,2022
St. John's,32,0.531,11.95,6.51,0.421,0.632,0.364,79.594,74.156,5.438,1.575,17.88,2022
St. Thomas,30,0.333,-11.15,-5.59,0.222,0.385,0.2,74.7,75.333,-0.633,1.551,17.03,2022
Stanford,32,0.5,6.27,8.59,0.4,0.667,0.25,66.375,68.688,-2.313,0.875,17.38,2022
Stephen F. Austin,32,0.688,2.43,-1.6,0.778,0.813,0.636,74.531,68.438,6.094,0.914,19.69,2022
Stetson,30,0.367,-10.34,-4.07,0.313,0.467,0.267,69.667,71.467,-1.8,1.105,14.83,2022
Stony Brook,31,0.581,-6.63,-5.43,0.556,0.765,0.357,72.935,73.129,-0.194,1.055,14.29,2022
Syracuse,33,0.485,10.12,7.82,0.45,0.688,0.273,77.364,75.061,2.303,1.362,14.24,2022
Tarleton St.,31,0.452,-3.18,-0.5,0.5,0.667,0.25,64.581,65.323,-0.742,0.923,18.13,2022
TCU,34,0.618,13.72,10.16,0.444,0.75,0.4,68.471,64.912,3.559,0.943,15.5,2022
Temple,29,0.586,4.61,4.3,0.588,0.786,0.455,66.759,66.448,0.31,0.94,18.38,2022
Tennessee,35,0.771,20.46,9.94,0.778,1,0.545,73.457,62.943,10.514,1.343,16.91,2022
Tennessee St.,32,0.438,-9.34,-7.31,0.444,0.615,0.313,71.313,70.188,1.125,0.885,19.06,2022
Tennessee Tech,32,0.344,-7.27,-3.03,0.412,0.5,0.2,72.75,73.656,-0.906,1.208,14.5,2022
Tennessee-Martin,30,0.267,-11.13,-3.02,0.222,0.385,0.133,68.9,73.533,-4.633,0.883,18.1,2022
Texas,34,0.647,17.01,8.87,0.556,0.842,0.364,68.794,60.647,8.147,1.145,17.88,2022
Texas A&M,40,0.675,12.93,7.42,0.5,0.8,0.5,72.7,66.075,6.625,1.032,17.53,2022
Texas A&M-Corpus Christi,35,0.657,-6.78,-9.1,0.5,0.692,0.538,76.629,70.114,6.514,1.073,20.31,2022
Texas Southern,32,0.594,-3.3,-6.24,0.722,0.778,0.444,69.031,66.094,2.938,0.718,17.69,2022
Texas St.,29,0.724,0.14,-2.86,0.8,0.923,0.538,70.448,63.241,7.207,0.989,17.07,2022
Texas Tech,37,0.73,20.08,8.65,0.667,1,0.3,72.081,60.649,11.432,1.014,16.16,2022
Texas-Rio Grande Valley,31,0.258,-10.18,-1.28,0.167,0.308,0.2,71.355,78.645,-7.29,0.795,20,2022
The Citadel,31,0.419,-6.8,-1.97,0.333,0.467,0.357,76.806,76.839,-0.032,1.326,15.32,2022
Toledo,34,0.765,6.26,-3.22,0.85,0.867,0.643,79.912,68.647,11.265,1.491,15.09,2022
Towson,34,0.735,6.47,-2.15,0.833,0.857,0.688,72.882,64.265,8.618,1.134,17.35,2022
Troy,32,0.625,-3.56,-3.52,0.625,0.769,0.571,69.188,65.625,3.563,0.9,17.63,2022
Tulane,29,0.483,6.74,5.33,0.556,0.692,0.273,73.138,71.724,1.414,1.285,16.07,2022
Tulsa,31,0.355,1.56,4.07,0.222,0.5,0.091,67.387,69.903,-2.516,0.919,16,2022
UAB,35,0.771,10.9,-0.14,0.778,0.889,0.636,80.314,66.743,13.571,1.127,16.54,2022
UC Davis,24,0.542,-3.7,-4.29,0.5,0.583,0.556,67.833,66.375,1.458,0.907,18.46,2022
UC Irvine,25,0.6,1.59,-0.93,0.667,0.9,0.462,66.24,60.28,5.96,0.808,18,2022
UC Riverside,28,0.571,-0.92,-1.89,0.588,0.714,0.462,66.607,63.714,2.893,1.081,16.04,2022
UC San Diego,29,0.448,-7.04,-3.78,0.389,0.692,0.267,70.207,70.552,-0.345,1.085,14.62,2022
UC Santa Barbara,28,0.607,1.38,-4.39,0.6,0.786,0.417,73.786,65.75,8.036,1.181,17.25,2022
UCLA,35,0.771,19.3,8.36,0.75,0.933,0.667,75.4,64.457,10.943,1.553,15.83,2022
UNC Asheville,32,0.531,-4.52,-5.28,0.5,0.6,0.462,75.313,68.781,6.531,1.036,15.78,2022
UNC Greensboro,32,0.531,-2.47,-1.99,0.5,0.643,0.538,65.094,64.969,0.125,0.93,15.34,2022
UNC Wilmington,36,0.75,-0.66,-2.84,0.833,0.857,0.643,72.111,68.972,3.139,1.061,17.97,2022
UT Arlington,29,0.379,-5.49,-0.94,0.412,0.667,0.188,67.172,68.724,-1.552,0.998,17.93,2022
Utah,31,0.355,5.45,6.61,0.2,0.438,0.182,69.71,70.871,-1.161,1.1,16.48,2022
Utah St.,34,0.529,10.41,4.53,0.444,0.563,0.364,73.441,66.853,6.588,1.441,16.47,2022
Utah Tech,31,0.419,-8.53,-0.53,0.333,0.625,0.214,72.484,74.065,-1.581,1.028,18.84,2022
Utah Valley,32,0.625,2.37,-1.6,0.556,0.846,0.4,71.219,65.125,6.094,0.96,16.84,2022
UTEP,34,0.588,0.27,-0.48,0.611,0.667,0.538,69.176,66.618,2.559,1.04,18.15,2022
UTSA,32,0.313,-10.46,-1.49,0.167,0.444,0.083,67.281,72.281,-5,0.901,16.41,2022
Valparaiso,32,0.438,-1.61,0.83,0.333,0.5,0.273,70.75,70.531,0.219,1.13,13.47,2022
Vanderbilt,36,0.528,11,8.05,0.389,0.579,0.385,70.778,67.833,2.944,0.896,18.06,2022
Vermont,34,0.824,7.81,-5.7,0.944,1,0.714,74.824,60.735,14.088,1.58,13.97,2022
Villanova,38,0.789,19.31,10.29,0.8,0.923,0.615,71.737,62.711,9.026,1.199,14.89,2022
Virginia,35,0.6,8.88,6.6,0.6,0.611,0.538,62.4,60.114,2.286,1.454,13.71,2022
VCU,32,0.688,9.83,5.17,0.778,0.75,0.75,67.063,62.406,4.656,0.923,18.72,2022
VMI,32,0.5,-2.47,-2.05,0.5,0.692,0.4,79.031,74.219,4.813,1.381,14.91,2022
Virginia Tech,36,0.639,14.48,6.48,0.55,0.733,0.538,70.806,62.806,8,1.317,14.86,2022
Wagner,27,0.778,-1.12,-9.01,0.813,0.923,0.643,74.444,64.704,9.741,1.163,19.81,2022
Wake Forest,35,0.714,13.24,4.75,0.65,0.9,0.455,78.543,70.057,8.486,1.08,15.97,2022
Washington,32,0.531,5.03,6.72,0.55,0.647,0.3,70.625,72.313,-1.688,0.856,16.63,2022
Washington St.,37,0.595,12.57,5.97,0.55,0.65,0.615,71.459,64.865,6.595,1,17.41,2022
Weber St.,33,0.636,-1.73,-5.21,0.65,0.6,0.615,76.152,70.273,5.879,0.914,15.36,2022
West Virginia,33,0.485,10.23,10.74,0.222,0.706,0.091,68.455,68.97,-0.515,0.844,17.42,2022
Western Carolina,32,0.344,-10.48,-1.9,0.278,0.615,0.125,70.656,77.25,-6.594,1.038,17,2022
Western Illinois,32,0.5,-6.34,-5.51,0.389,0.6,0.438,77.906,77.188,0.719,1,17.44,2022
Western Kentucky,32,0.594,3.3,0.23,0.611,0.765,0.455,75.438,69.188,6.25,1.147,11.31,2022
Western Michigan,31,0.258,-13.51,-2.3,0.2,0.286,0.133,65.387,75.129,-9.742,0.751,16.84,2022
Wichita St.,28,0.536,8.11,6,0.4,0.647,0.375,68.464,66.357,2.107,0.933,15.93,2022
William & Mary,32,0.156,-13.91,-1.88,0.222,0.286,0.067,63.875,74.375,-10.5,0.707,16.78,2022
Winthrop,32,0.719,-1.56,-3.63,0.875,1,0.5,75.219,70.188,5.031,0.916,17.88,2022
Wisconsin,33,0.758,13.13,9.16,0.75,0.75,0.818,69.939,65.97,3.97,1.272,16.79,2022
Wofford,32,0.594,2.01,-1.55,0.556,0.733,0.467,72.563,66.25,6.313,1.142,15.19,2022
Wright St.,36,0.611,-1.94,-5.11,0.682,0.8,0.5,75.806,71.806,4,1.15,14.53,2022
Wyoming,34,0.735,9.36,3.6,0.722,0.933,0.615,72.529,65.5,7.029,0.99,15.18,2022
Xavier,36,0.639,13.23,8.34,0.421,0.762,0.4,74.111,69.222,4.889,1.269,15.36,2022
Yale,31,0.613,-0.1,-1.34,0.786,0.769,0.5,71.806,69.129,2.677,0.932,17.52,2022
Youngstown St.,34,0.559,-6.28,-7.12,0.571,0.65,0.429,72.647,69.824,2.824,1.013,17.44,2022
Abilene Christian,29,0.828,6.27,-6.37,0.867,1,0.556,75.724,60.448,15.276,1.302,19.1,2021
Air Force,25,0.2,-12.98,0.22,0.15,0.273,0.091,58.72,71.92,-13.2,0.853,16.6,2021
Akron,23,0.652,1.85,-1.96,0.667,0.9,0.5,78.174,72.174,6,1.125,17.96,2021
Alabama,33,0.788,19.58,10.01,0.889,0.923,0.7,79.667,70.091,9.576,1.013,18.27,2021
Alabama A&M,15,0.4,-18.86,-14.99,0.308,0.714,0.125,63.333,67.2,-3.867,0.716,18.13,2021
Alabama St.,18,0.222,-24.28,-16.95,0.222,0.333,0.111,64.222,71.556,-7.333,0.601,19.06,2021
Albany,16,0.438,-4.53,-5.22,0.5,0.444,0.333,69.375,68.688,0.688,0.93,17.81,2021
Alcorn St.,19,0.316,-19.58,-10.06,0.462,0.571,0.182,66.105,75.632,-9.526,0.641,20.74,2021
American,10,0.4,-6.32,-1.82,0.444,0.5,0.333,69.1,73.6,-4.5,0.81,19.3,2021
Appalachian St.,29,0.586,-5.84,-5.72,0.467,0.692,0.364,70.31,64.138,6.172,1.003,13.59,2021
Arizona,26,0.654,15.02,8.18,0.55,0.75,0.5,75.423,68.577,6.846,1.304,17.81,2021
Arizona St.,25,0.44,7.48,10.24,0.412,0.538,0.25,74.32,77.08,-2.76,1.193,19.12,2021
Arkansas,32,0.781,17.8,7.18,0.765,0.941,0.556,81.375,70.75,10.625,1.131,16.88,2021
Arkansas St.,24,0.458,-7.97,-5.87,0.467,0.75,0.1,72.542,69.458,3.083,1.109,16.04,2021
Arkansas Pine Bluff,25,0.16,-22.67,-7.79,0.2,0.4,0.105,61.96,76.84,-14.88,0.609,18.2,2021
Army,22,0.545,0.06,0.63,0.5,0.5,0.625,71.727,69.5,2.227,1.149,15.55,2021
Auburn,27,0.481,10.02,9.28,0.389,0.615,0.273,77.185,76.444,0.741,0.913,17.85,2021
Austin Peay,27,0.519,-6.66,-8.22,0.5,0.615,0.4,74.333,70,4.333,0.899,17.48,2021
Ball St.,23,0.435,-1.96,-1.22,0.471,0.636,0.273,74.739,75.478,-0.739,0.964,19.17,2021
Baylor,30,0.933,24.83,7.4,0.929,1,0.875,82.9,65.467,17.433,1.47,17.1,2021
Bellarmine,22,0.636,-1.76,-5.56,0.769,0.6,0.778,74.273,66.182,8.091,1.396,15.55,2021
Belmont,30,0.867,3.46,-8.71,0.9,0.917,0.833,81.3,69.133,12.167,1.515,14.6,2021
Binghamton,18,0.222,-12.24,-5.35,0.286,0.1,0.375,65.444,72.333,-6.889,0.796,17.06,2021
Boise St.,28,0.679,9.75,1.71,0.7,0.917,0.5,75.786,66.714,9.071,1.152,17.07,2021
Boston College,20,0.2,0.82,8.97,0.154,0.375,0,71.35,79.5,-8.15,0.839,16.2,2021
Boston University,18,0.389,-3.71,0.84,0.375,0.25,0.5,69.389,73.944,-4.556,0.844,16.94,2021
Bowling Green St.,26,0.538,-0.17,-2.37,0.556,0.364,0.769,77.5,74.577,2.923,1.281,17,2021
Bradley,28,0.429,0.32,1.17,0.333,0.571,0.182,69.571,66.571,3,1.104,16.25,2021
BYU,27,0.741,15.19,7.23,0.769,0.846,0.778,78.111,68.63,9.481,1.225,18,2021
Bryant,22,0.682,-1.37,-7.27,0.714,0.909,0.5,83.773,75.636,8.136,1.009,16.59,2021
Bucknell,12,0.417,-7.78,-5.36,0.4,0.4,0.429,74.917,77.333,-2.417,0.947,17.42,2021
Buffalo,25,0.64,6.5,-1.58,0.706,0.727,0.625,81.36,72.92,8.44,1.144,17.68,2021
Butler,25,0.4,4.76,9.92,0.4,0.667,0.1,63.52,68.68,-5.16,1.077,16.24,2021
Cal Poly,24,0.167,-13.69,-1.56,0.063,0.273,0,61.458,70.833,-9.375,0.895,18.63,2021
Cal St. Bakersfield,26,0.577,-0.13,-2.38,0.611,0.818,0.429,69.654,64.038,5.615,1.08,19.19,2021
Cal St. Fullerton,16,0.375,-6.32,-3.05,0.357,0.556,0.167,77,78.563,-1.563,1.063,16.94,2021
Cal St. Northridge,22,0.409,-8.69,-1.97,0.357,0.364,0.5,72.091,77.682,-5.591,1.123,17.41,2021
California,29,0.31,4.89,9.75,0.15,0.429,0.083,65.414,69.241,-3.828,0.935,17.79,2021
California Baptist,23,0.565,-5.25,-5.04,0.5,0.733,0.286,79.13,72.783,6.348,1.3,19.74,2021
Campbell,27,0.63,-6.82,-7.34,0.647,0.75,0.462,71,68.148,2.852,1.183,17,2021
Canisius,13,0.538,-8.61,-7.84,0.583,0.75,0.5,70.385,71.154,-0.769,1.058,18,2021
Central Arkansas,24,0.208,-14.86,-1.99,0.25,0.444,0.067,70.875,80.542,-9.667,0.768,18.04,2021
Central Connecticut St.,21,0.238,-15.12,-6.27,0.278,0.333,0.182,68.524,77.381,-8.857,0.906,17.1,2021
UCF,23,0.478,5.94,8.15,0.444,0.667,0.333,67.217,69.435,-2.217,0.838,16.91,2021
Central Michigan,23,0.304,-12.34,-4.19,0.188,0.417,0.182,76.783,79.783,-3,0.801,17.22,2021
Charleston Southern,21,0.143,-16.72,-6.22,0.118,0.1,0.2,65.476,73.81,-8.333,0.63,18.33,2021
Charlotte,25,0.36,-5.68,-2.43,0.313,0.462,0.273,63.48,66.72,-3.24,0.842,14.56,2021
Chattanooga,26,0.692,-1.54,-2.92,0.563,0.75,0.692,72.615,69.269,3.346,1.104,14.23,2021
Cincinnati,23,0.522,3.99,7.21,0.571,0.5,0.5,68.913,72.13,-3.217,1.024,18.91,2021
Clemson,24,0.667,12.49,9.49,0.625,0.917,0.286,64.917,61.917,3,1.053,15.58,2021
Cleveland St.,27,0.704,-5.12,-4.82,0.8,0.818,0.615,70.889,71.185,-0.296,1.066,19.41,2021
Coastal Carolina,26,0.692,-2.74,-7.6,0.643,0.923,0.375,79.5,68.192,11.308,1.025,16.73,2021
Colgate,16,0.875,13.66,-1.9,0.917,0.889,1,85.188,69.625,15.563,1.63,16.19,2021
College of Charleston,19,0.474,-4.96,-3.13,0.6,0.571,0.25,70.579,69.947,0.632,1.02,17.05,2021
Colorado,32,0.719,18.88,9.57,0.7,0.917,0.5,73.125,63.813,9.313,1.198,16.44,2021
Colorado St.,28,0.714,8.06,1.06,0.778,0.909,0.6,74,66.821,7.179,1.079,16.61,2021
Connecticut,23,0.652,15.77,8.59,0.647,0.7,0.667,71.739,64.565,7.174,1.108,18.78,2021
Coppin St.,22,0.409,-12.37,-6.06,0.667,0.625,0.308,72.818,79.136,-6.318,0.822,17.91,2021
Creighton,31,0.71,16.28,8.54,0.7,0.786,0.636,75.968,68.226,7.742,1.422,15.35,2021
Davidson,22,0.591,9.02,3.4,0.636,0.636,0.667,71.773,64.136,7.636,1.407,14.86,2021
Dayton,24,0.583,6.31,4.35,0.563,0.727,0.4,69.75,67.792,1.958,0.939,15.38,2021
Delaware,15,0.467,-5.19,-5.04,0.556,0.667,0.2,67.533,67.467,0.067,0.874,17.47,2021
Delaware St.,19,0.158,-24.09,-6.33,0.083,0.333,0,70.789,85.737,-14.947,0.673,21.26,2021
Denver,21,0.095,-16.4,-5.8,0.071,0.167,0,69.81,79.143,-9.333,0.804,20.52,2021
DePaul,19,0.263,2.67,8.83,0.133,0.2,0.286,65.789,71.947,-6.158,0.723,19.68,2021
Detroit,22,0.545,-3.66,-6.21,0.625,0.583,0.5,76.5,73.955,2.545,1.245,14.27,2021
Drake,31,0.839,9.42,-0.48,0.833,0.933,0.818,75.935,64.484,11.452,1.322,15.71,2021
Drexel,20,0.6,-0.97,-3.92,0.444,0.6,0.444,70.35,67.4,2.95,1.164,14.9,2021
Duke,24,0.542,13.04,8.33,0.5,0.615,0.333,76,71.292,4.708,1.27,17.08,2021
Duquesne,18,0.5,2.32,2.49,0.5,0.714,0.286,66.944,67.111,-0.167,1.004,17.22,2021
East Carolina,19,0.421,1,3.83,0.167,0.538,0.2,66.789,67.947,-1.158,1.263,17.11,2021
East Tennessee St.,25,0.52,1.65,0.3,0.533,0.667,0.375,69.44,66.16,3.28,0.87,17.24,2021
Eastern Illinois,27,0.333,-12.71,-7.19,0.3,0.417,0.267,69.407,74.926,-5.519,0.94,16.11,2021
Eastern Kentucky,29,0.759,-2.68,-8.24,0.75,0.833,0.692,81.793,73.69,8.103,1.236,18.38,2021
Eastern Michigan,18,0.333,-14.23,-1.23,0.214,0.556,0.111,70.389,75.667,-5.278,0.896,15.22,2021
Eastern Washington,24,0.667,4.03,-3.15,0.8,0.778,0.545,78.292,70.417,7.875,1.318,16.96,2021
Elon,19,0.526,-5.32,-4.43,0.364,0.667,0.333,65.737,65,0.737,0.941,18.89,2021
Evansville,25,0.36,-4.85,-0.01,0.389,0.667,0.091,64.76,69.6,-4.84,1.062,15.08,2021
Fairfield,27,0.37,-11.46,-6.57,0.389,0.333,0.273,61.778,66.667,-4.889,0.777,17.78,2021
Fairleigh Dickinson,24,0.375,-10.17,-6.46,0.444,0.4,0.357,75.042,78.75,-3.708,0.844,18.29,2021
Florida,25,0.6,13.7,9.82,0.563,0.667,0.5,74.16,70.28,3.88,0.781,18.56,2021
Florida A&M,20,0.4,-12.35,-9.55,0.583,0.8,0.286,65.7,68.5,-2.8,0.784,18.2,2021
Florida Atlantic,23,0.565,-2.05,-4.94,0.583,0.875,0.364,78.087,66.826,11.261,1.053,18.04,2021
Florida Gulf Coast,18,0.556,-9.63,-7.13,0.444,0.636,0.5,71.778,69,2.778,0.928,15.56,2021
Florida International,26,0.346,-11.2,-3.24,0.118,0.467,0.182,73.615,76.346,-2.731,1.026,17.81,2021
Florida St.,25,0.72,17.12,9.16,0.733,0.923,0.429,77.16,69.2,7.96,1.011,18.36,2021
Fordham,14,0.143,-11.69,3.09,0.154,0.286,0,51.786,66.571,-14.786,0.818,15.79,2021
Fresno St.,24,0.5,-3.57,0.07,0.45,0.583,0.4,66.292,67.417,-1.125,0.724,17.79,2021
Furman,25,0.64,5.99,-1.69,0.667,0.917,0.417,79.6,68.92,10.68,1.329,17.12,2021
Gardner Webb,26,0.423,-3.87,-6.14,0.5,0.636,0.267,70.654,68.385,2.269,1.115,18.92,2021
George Mason,22,0.591,1.91,0.48,0.571,0.7,0.429,71.318,69.909,1.409,1.018,16.05,2021
George Washington,17,0.294,-5.75,-1.57,0.375,0.333,0.167,68.118,72.294,-4.176,0.833,14.53,2021
Georgetown,26,0.5,10.13,10.36,0.438,0.538,0.25,71.423,71.654,-0.231,0.843,15.88,2021
Georgia,26,0.538,6.62,8.02,0.389,0.706,0.25,77.462,77.962,-0.5,0.898,18.62,2021
Georgia Southern,26,0.5,-10.22,-6.26,0.438,0.692,0.333,71.538,67.769,3.769,0.866,17.08,2021
Georgia St.,22,0.727,-1.7,-4.6,0.667,0.9,0.556,80.318,72.682,7.636,1.447,16.59,2021
Georgia Tech,26,0.654,12.79,7.91,0.647,0.786,0.444,74.923,70.038,4.885,1.421,15.77,2021
Gonzaga,32,0.969,27.2,5.92,1,1,1,90.969,69.688,21.281,1.561,16.28,2021
Grambling,24,0.5,-14.27,-12.49,0.6,0.6,0.417,67.375,68.708,-1.333,0.908,18.04,2021
Grand Canyon,24,0.708,5.11,-3.46,0.75,0.769,0.833,75.5,62.125,13.375,1.266,17.17,2021
Green Bay,25,0.32,-10.15,-5.23,0.4,0.5,0.154,71.6,76.52,-4.92,1.309,16.2,2021
Hampton,25,0.44,-13.67,-9.27,0.5,0.417,0.462,68.84,73.24,-4.4,0.918,17.04,2021
Hartford,24,0.625,-3.45,-4.95,0.571,0.909,0.455,65.417,63.917,1.5,0.838,16.08,2021
Hawaii,21,0.524,-2.98,-2.72,0.5,0.583,0.5,71.571,69.143,2.429,0.845,16.67,2021
High Point,24,0.375,-10.78,-7.58,0.353,0.5,0.286,66.667,69.875,-3.208,0.964,17.83,2021
Hofstra,23,0.565,-2.77,-2.94,0.571,0.7,0.455,73.174,73,0.174,1.05,16,2021
Holy Cross,16,0.313,-4.99,0.45,0.313,0.222,0.429,70.625,76.063,-5.438,0.937,19.06,2021
Houston,32,0.875,21.66,5.37,0.824,1,0.625,76.063,58.219,17.844,1.308,17.97,2021
Houston Christian,25,0.24,-16.72,-5.72,0.267,0.4,0.077,71.04,80.28,-9.24,0.847,16.96,2021
Idaho,22,0.045,-18.32,-2.91,0.056,0.1,0,61.045,76.455,-15.409,0.739,18.91,2021
Idaho St.,24,0.542,-8.39,-5.71,0.571,0.727,0.5,68.208,61.708,6.5,0.765,18.42,2021
Illinois,31,0.774,23.25,11.34,0.8,0.846,0.75,80.548,68.645,11.903,1.252,17.71,2021
Illinois St.,25,0.28,-5.45,0.38,0.222,0.273,0.25,71.96,74.8,-2.84,1,16.44,2021
Illinois-Chicago,22,0.409,-12.06,-7.42,0.375,0.636,0.182,67.682,72.318,-4.636,1.021,18.59,2021
Incarnate Word,22,0.364,-15.91,-8.33,0.357,0.417,0.333,67.955,71.727,-3.773,0.873,18,2021
Indiana,27,0.444,12.79,12.45,0.368,0.5,0.3,69.704,69.37,0.333,1.168,17.74,2021
Indiana St.,25,0.6,2.04,1.91,0.611,0.75,0.455,66.48,65.8,0.68,0.884,14.92,2021
Iona,18,0.667,-1.2,-6.42,0.667,0.667,0.571,71.278,66.056,5.222,0.872,21.61,2021
Iowa,31,0.71,21.4,10.43,0.7,0.875,0.6,83.71,72.742,10.968,2.02,14.87,2021
Iowa St.,24,0.083,-0.72,10.4,0,0.167,0,65.583,76.708,-11.125,0.779,18.63,2021
IUPUI,18,0.444,-11.65,-7.03,0.438,0.444,0.444,71.167,75.778,-4.611,0.956,18.89,2021
Jackson St.,18,0.667,-11.27,-14.05,1,1,0.5,65.611,62.833,2.778,0.686,19.33,2021
Jacksonville,24,0.458,-11.15,-6.74,0.357,0.583,0.333,67.583,69.5,-1.917,0.784,15.5,2021
Jacksonville St.,27,0.667,-3.02,-6.06,0.684,0.727,0.583,74.259,68.556,5.704,1.064,15.3,2021
James Madison,20,0.65,-0.11,-3.17,0.8,0.769,0.5,78.1,70.45,7.65,1.136,18.75,2021
Kansas,30,0.7,15.29,10.26,0.667,0.933,0.4,73.033,67,6.033,1.156,15.33,2021
Kansas City,24,0.458,-4.92,-2.67,0.5,0.727,0.2,70.125,62.583,7.542,1.183,21.83,2021
Kansas St.,29,0.31,0.76,9.04,0.222,0.333,0.222,61.793,70.241,-8.448,0.875,16.97,2021
Kennesaw St.,24,0.208,-14.15,-3.67,0.133,0.308,0,65.458,69.667,-4.208,0.762,17.88,2021
Kent St.,23,0.652,1.74,-1.9,0.667,0.818,0.545,76.696,71.087,5.609,1.058,17,2021
Kentucky,25,0.36,11.77,11.49,0.471,0.455,0.364,70.44,70.16,0.28,0.897,18,2021
La Salle,25,0.36,-3.57,2.85,0.353,0.667,0.214,68.08,73.52,-5.44,0.881,17.24,2021
